comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,competing_min_mag,solo_at_mag6,solo_at_mag8
11P,11P/Tempel-Swift-LINEAR,11P_1880,1880,1880-11-08,9.437618166355046,True,expected_seen,3.122621019838796,False,False
11P,11P/Tempel-Swift-LINEAR,11P_1869,1869,1869-11-19,10.925761667307498,False,unexpected_seen,2.6009768086864176,False,False
12P,12P/Pons-Brooks,12P_1884,1884,1884-01-26,3.0054125575273387,True,expected_seen,1.2302160647868725,False,False
13P,13P/Olbers,13P_1887,1887,1887-10-08,7.157053134416981,True,expected_seen,3.05100928922714,False,False
14P,14P/Wolf,14P_1934,1934,1934-02-27,13.83975825670524,True,expected_seen,6.646680757632584,True,False
14P,14P/Wolf,14P_1925,1925,1925-11-08,12.801301531575165,True,expected_seen,4.882906594842448,False,False
14P,14P/Wolf,14P_1918,1918,1918-12-13,10.439236652351902,True,expected_seen,7.2104248056168,True,False
14P,14P/Wolf,14P_1912,1912,1912-02-24,11.858191718730666,True,expected_seen,-0.2145510151282152,False,False
14P,14P/Wolf,14P_1898,1898,1898-07-05,11.44447222557774,True,expected_seen,3.9819869327563415,False,False
14P,14P/Wolf,14P_1891,1891,1891-09-03,9.715313599842233,True,expected_seen,4.361596771859329,False,False
14P,14P/Wolf,14P_1884,1884,1884-11-18,9.630103014450588,False,unexpected_seen,3.127152133644844,False,False
15P,15P/Finlay,15P_1926,1926,1926-08-07,9.203204103836626,True,expected_seen,4.882906594842448,False,False
15P,15P/Finlay,15P_1919,1919,1919-10-15,6.1149054404767735,True,expected_seen,5.928362410521481,False,False
15P,15P/Finlay,15P_1906,1906,1906-09-08,6.451622008251438,True,expected_seen,6.754676407782181,True,False
15P,15P/Finlay,15P_1893,1893,1893-07-12,9.611788101226573,True,expected_seen,2.942990347252355,False,False
15P,15P/Finlay,15P_1886,1886,1886-11-22,8.871982893151605,False,unexpected_seen,-12.381552605466096,False,False
16P,16P/Brooks 2,16P_1939,1939,1939-09-15,9.848503842958648,True,expected_seen,2.3960866007038835,False,False
16P,16P/Brooks 2,16P_1932,1932,1932-10-09,9.72018029174713,True,expected_seen,6.79588209121373,True,False
16P,16P/Brooks 2,16P_1925,1925,1925-11-01,9.835391560293502,True,expected_seen,4.882906594842448,False,False
16P,16P/Brooks 2,16P_1911,1911,1911-01-08,11.549986319586148,True,expected_seen,6.47610293005946,True,False
16P,16P/Brooks 2,16P_1903,1903,1903-12-06,10.915080930223349,True,expected_seen,1.8399293654181743,False,False
16P,16P/Brooks 2,16P_1896,1896,1896-11-04,10.423514291990642,True,expected_seen,8.00646670926738,True,True
16P,16P/Brooks 2,16P_1889,1889,1889-09-30,10.091887199403969,False,unexpected_seen,2.959505074732233,False,False
17P,17P/Holmes,17P_1906,1906,1906-03-14,15.175856776258138,True,expected_seen,2.020171797617616,False,False
17P,17P/Holmes,17P_1899,1899,1899-04-28,14.48587388025029,True,expected_seen,1.056122529579568,False,False
17P,17P/Holmes,17P_1892,1892,1892-06-13,13.831119414599986,False,unexpected_seen,1.777690971154502,False,False
18D,18D/Perrine-Mrkos,18D_1909,1909,1909-11-01,10.054783459523724,True,expected_seen,-3.770183864478436,False,False
18D,18D/Perrine-Mrkos,18D_1896,1896,1896-11-25,9.63529273007546,False,unexpected_seen,8.00646670926738,True,True
19P,19P/Borrelly,19P_1932,1932,1932-08-27,11.667103272740508,True,expected_seen,7.135937025172408,True,False
19P,19P/Borrelly,19P_1925,1925,1925-10-07,10.644532227552787,True,expected_seen,4.882906594842448,False,False
