apparition_id,comet_id,comet_name,designation,apparition_year,perihelion_date,discovery_date,raw_status_source,raw_aerith_status,expected,seen,event_case,status_mapping_confidence,status_notes,manual_review_status,sbdb_pdes,merged_fragments,window_start,window_end,window_extended,window_extension_reason,magnitude_provenance,manual_curated_source_citation,failed_horizons_match,failed_light_curve,missing_magnitude_model,missing_perihelion_date,no_light_curve_window,audit_notes,magnitude_quality,sbdb_M1,sbdb_K1,sbdb_M2_present,sbdb_K2_present,manual_sbdb_conflict,sbdb_nuclear_biased,peak_mag,date_peak_mag,days_mag_le_6,integrated_mag6_excess,spectacle_mag6_excess,peak_flux_proxy,integrated_flux_proxy,integrated_visible_relative_flux_mag6,spectacle_visible_relative_flux_mag6,main_sample_candidate,exclude_from_main_sample,exclusion_reason
2P_1865,2P,2P/Encke,2P,1865,1865-05-28,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1864-11-29,1865-11-24,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.078369816581415,1865-05-31,53,52.29866868256854,69.34447080835781,0.02336964274742146,0.6690587932909972,151.6175267880704,559.1950091861395,True,False,
2P_1862,2P,2P/Encke,2P,1862,1862-02-06,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1861-08-10,1862-08-05,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.127387994405103,1862-02-05,37,60.5996604231074,130.98636744571007,0.05611058572687241,0.9813474876912945,230.18985444309752,2165.756222704444,True,False,
2P_1858,2P,2P/Encke,2P,1858,1858-10-18,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1858-04-21,1859-04-16,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.493319404233424,1858-10-18,27,25.352559564331273,29.326323433968383,0.015946751929070625,0.3492998925186527,69.53956955447238,204.87974134078758,True,False,
2P_1855,2P,2P/Encke,2P,1855,1855-07-01,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1855-01-02,1855-12-28,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,4.38828989359963,1855-07-03,30,28.86081157895142,35.324438691586835,0.017566451564279512,0.3947394267160629,80.42620895905938,253.89800988441155,True,False,
2P_1852,2P,2P/Encke,2P,1852,1852-03-15,,AERITH,Appeared,True,True,expected_seen,high,,False,,,1851-09-17,1852-09-11,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,15.6,4.5,False,False,False,True,3.1217074186297573,1852-03-16,36,59.46634744944477,128.8655103941288,0.05640492583846891,0.96520638291412,226.3195917641064,2146.302124081561,True,False,
3D_1938,3D,3D/Biela,0003D/?,1938,1938-12-20,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1938-06-23,1939-06-18,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,5.03605741051424,1939-03-12,57,35.15840290643048,26.593528655549775,0.009673352987915313,0.5468844446787823,104.14187481280834,202.15819191852742,True,False,
3D_1932,3D,3D/Biela,0003D/?,1932,1932-05-16,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1931-11-18,1932-11-12,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,8.542035411313618,1932-07-01,0,0.0,0.0,0.00038298858984025846,0.027608730323319106,0.0,0.0,False,True,peak magnitude fainter than 6
3D_1925,3D,3D/Biela,0003D/?,1925,1925-09-30,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1925-04-03,1926-03-29,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,7.087129070369803,1925-10-27,0,0.0,0.0,0.001462676796273893,0.10309650339587333,0.0,0.0,False,True,peak magnitude fainter than 6
3D_1919,3D,3D/Biela,0003D/?,1919,1919-02-13,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1918-08-17,1919-08-12,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,7.2104248056168005,1919-03-29,0,0.0,0.0,0.0013056599351099058,0.09384808005710045,0.0,0.0,False,True,peak magnitude fainter than 6
3D_1912,3D,3D/Biela,0003D/?,1912,1912-07-01,,AERITH,Not observed,True,False,expected_not_seen,high,,False,,,1912-01-03,1912-12-28,False,,manual_curated_override,"Vsekhsvyatskij 1958, C.A.M.",False,False,False,False,False,,medium,7.1,10.0,False,False,False,False,8.550569236298433,1912-07-25,0,0.0,0.0,0.00037999012058372066,0.02752433288413507,0.0,0.0,False,True,peak magnitude fainter than 6
