comet_id,comet_name,apparition_id,apparition_year,perihelion_date,peak_mag_n,predicted,event_case,max_salience,peak_month_offset,integ_above_p75,lead_time_p75,lead_time_p90,preperi_max
9P,9P/Tempel 1,9P_1873,1873,1873-05-10,11.913506146018667,True,expected_seen,0.3478260869565217,-5,0.385922128342037,-5.0,-5.0,0.3478260869565217
9P,9P/Tempel 1,9P_1867,1867,1867-05-24,10.715545991892943,False,unexpected_seen,0.2666666666666666,5,0.1617451079622134,3.0,,0.1666666666666666
10P,10P/Tempel 2,10P_1930,1930,1930-10-05,10.780955813108648,True,expected_seen,0.1466666666666666,-4,0.0,,,0.1466666666666666
10P,10P/Tempel 2,10P_1925,1925,1925-08-07,7.8260387698114755,True,expected_seen,0.15,5,0.0,,,0.1428571428571428
10P,10P/Tempel 2,10P_1920,1920,1920-06-10,10.208318757046662,True,expected_seen,0.0862068965517241,4,0.0,,,0.0414746543778801
10P,10P/Tempel 2,10P_1915,1915,1915-04-14,11.608372142106456,True,expected_seen,0.328125,5,0.15981781376518225,5.0,5.0,0.126865671641791
10P,10P/Tempel 2,10P_1904,1904,1904-11-10,11.846323865176998,True,expected_seen,0.0851063829787234,3,0.0,,,0.0434782608695652
10P,10P/Tempel 2,10P_1899,1899,1899-07-29,8.393623223013657,True,expected_seen,0.2269230769230769,4,0.11228103428036737,-4.0,,0.2058823529411764
10P,10P/Tempel 2,10P_1894,1894,1894-04-23,11.567185053191958,True,expected_seen,0.1648351648351648,1,0.0,,,0.1478260869565217
10P,10P/Tempel 2,10P_1878,1878,1878-09-07,9.90240096859154,True,expected_seen,0.2429906542056074,-1,0.17440186290353094,-1.0,,0.2429906542056074
10P,10P/Tempel 2,10P_1873,1873,1873-06-25,9.574268008661232,False,unexpected_seen,0.3055555555555556,-5,0.20640322762033303,-5.0,,0.3055555555555556
11P,11P/Tempel-Swift-LINEAR,11P_1908,1908,1908-10-05,13.204678466976516,True,expected_seen,0.3578947368421052,0,0.3420683741293996,-1.0,0.0,0.2649572649572649
11P,11P/Tempel-Swift-LINEAR,11P_1891,1891,1891-11-17,10.895403685453552,True,expected_seen,0.134453781512605,6,0.0,,,0.1171171171171171
11P,11P/Tempel-Swift-LINEAR,11P_1880,1880,1880-11-08,9.437618166355046,True,expected_seen,0.3142857142857143,0,0.17979900139054678,0.0,0.0,0.0945945945945946
11P,11P/Tempel-Swift-LINEAR,11P_1869,1869,1869-11-19,10.925761667307498,False,unexpected_seen,0.375,3,0.3695482186020155,-2.0,3.0,0.1951219512195122
12P,12P/Pons-Brooks,12P_1884,1884,1884-01-26,3.0054125575273387,True,expected_seen,0.4558823529411764,-4,0.7826779604021102,-4.0,-4.0,0.4558823529411764
13P,13P/Olbers,13P_1887,1887,1887-10-08,7.157053134416981,True,expected_seen,0.3035714285714285,4,0.19033605253676433,4.0,,0.0985915492957746
14P,14P/Wolf,14P_1934,1934,1934-02-27,13.83975825670524,True,expected_seen,0.2142857142857142,-5,0.045978528050896444,-5.0,,0.2142857142857142
14P,14P/Wolf,14P_1925,1925,1925-11-08,12.801301531575165,True,expected_seen,0.1935483870967742,5,0.025241200861956442,5.0,,0.1
