comet_id,comet_name,designation,perihelion_date,perihelion_year,raw_status_icon,raw_aerith_status,source_url,source_row_html,in_scope
0003D,3D/Biela,0003D/?,1886-01-22,1886,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1886 Jan. 22</center></td></tr>",True
0003D,3D/Biela,0003D/?,1879-05-30,1879,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1879 May  30</center></td></tr>",True
0003D,3D/Biela,0003D/?,1872-09-30,1872,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1872 Sept.30</center></td></tr>",True
0003D,3D/Biela,0003D/?,1866-01-26,1866,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1866 Jan. 26</center></td></tr>",True
0003D,3D/Biela,0003D/?,1859-05-23,1859,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1859 May  23</center></td></tr>",True
0003D,3D/Biela,3D,1852-09-23,1852,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0003D/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>3D</td><td><center>1852 Sept.23</center></td></tr>",True
0004P,4P/Faye,4P,1940-04-24,1940,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1940 Apr. 24</center></td></tr>",True
0004P,4P/Faye,4P,1932-12-06,1932,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1932 Dec.  6</center></td></tr>",True
0004P,4P/Faye,4P,1925-08-07,1925,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1925 Aug.  7</center></td></tr>",True
0004P,4P/Faye,0004P/?,1918-03-29,1918,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1918 Mar. 29</center></td></tr>",True
0004P,4P/Faye,4P,1910-11-02,1910,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1910 Nov.  2</center></td></tr>",True
0004P,4P/Faye,0004P/?,1903-06-05,1903,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1903 June  5</center></td></tr>",True
0004P,4P/Faye,4P,1896-03-19,1896,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1896 Mar. 19</center></td></tr>",True
0004P,4P/Faye,4P,1888-08-20,1888,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1888 Aug. 20</center></td></tr>",True
0004P,4P/Faye,4P,1881-01-23,1881,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1881 Jan. 23</center></td></tr>",True
0004P,4P/Faye,4P,1873-07-18,1873,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1873 July 18</center></td></tr>",True
0004P,4P/Faye,4P,1866-02-14,1866,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1866 Feb. 14</center></td></tr>",True
0004P,4P/Faye,4P,1858-09-13,1858,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P</td><td><center>1858 Sept.13</center></td></tr>",True
0004P,4P/Faye,4P/1850 W1,1851-04-02,1851,gr_ball.gif,Appeared,https://aerith.net/comet/catalog/0004P/index.html,"<tr><td><img alt=""*"" height=""16"" src=""../../../icon/gr_ball.gif"" width=""17""/></td>
<td>4P/1850 W1</td><td><center>1851 Apr.  2</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1940-01-29,1940,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1940 Jan. 29</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1934-07-21,1934,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1934 July 21</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1928-12-23,1928,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1928 Dec. 23</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1923-06-09,1923,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1923 June  9</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1917-09-20,1917,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1917 Sept.20</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1912-01-12,1912,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1912 Jan. 12</center></td></tr>",True
0005D,5D/Brorsen,0005D/?,1906-07-17,1906,rd_ball.gif,Not observed,https://aerith.net/comet/catalog/0005D/index.html,"<tr><td><img alt=""-"" height=""16"" src=""../../../icon/rd_ball.gif"" width=""17""/></td>
<td><br/></td><td><center>1906 July 17</center></td></tr>",True
