trace_index,series,mode,time_point,value
0,P1: Comets,lines,1863-06-01T00:00:00.000000,
0,P1: Comets,lines,1863-07-01T00:00:00.000000,
0,P1: Comets,lines,1863-08-01T00:00:00.000000,
0,P1: Comets,lines,1863-09-01T00:00:00.000000,5.0
0,P1: Comets,lines,1863-10-01T00:00:00.000000,
0,P1: Comets,lines,1863-11-01T00:00:00.000000,
0,P1: Comets,lines,1863-12-01T00:00:00.000000,3.0
0,P1: Comets,lines,1864-01-01T00:00:00.000000,3.6666666666666665
0,P1: Comets,lines,1864-02-01T00:00:00.000000,2.0
0,P1: Comets,lines,1864-03-01T00:00:00.000000,
0,P1: Comets,lines,1864-04-01T00:00:00.000000,2.0
0,P1: Comets,lines,1864-05-01T00:00:00.000000,2.6666666666666665
0,P1: Comets,lines,1864-06-01T00:00:00.000000,
0,P1: Comets,lines,1864-07-01T00:00:00.000000,
0,P1: Comets,lines,1864-08-01T00:00:00.000000,4.0
0,P1: Comets,lines,1864-09-01T00:00:00.000000,2.0
0,P1: Comets,lines,1864-10-01T00:00:00.000000,22.0
0,P1: Comets,lines,1864-11-01T00:00:00.000000,
0,P1: Comets,lines,1864-12-01T00:00:00.000000,
0,P1: Comets,lines,1865-01-01T00:00:00.000000,3.0
0,P1: Comets,lines,1865-02-01T00:00:00.000000,
0,P1: Comets,lines,1865-03-01T00:00:00.000000,
0,P1: Comets,lines,1865-04-01T00:00:00.000000,24.0
0,P1: Comets,lines,1865-05-01T00:00:00.000000,2.0
0,P1: Comets,lines,1865-06-01T00:00:00.000000,13.0
0,P1: Comets,lines,1865-07-01T00:00:00.000000,2.0
0,P1: Comets,lines,1865-08-01T00:00:00.000000,
0,P1: Comets,lines,1865-09-01T00:00:00.000000,4.5
0,P1: Comets,lines,1865-10-01T00:00:00.000000,7.333333333333333
0,P1: Comets,lines,1865-11-01T00:00:00.000000,9.5
0,P1: Comets,lines,1865-12-01T00:00:00.000000,10.0
0,P1: Comets,lines,1866-01-01T00:00:00.000000,
0,P1: Comets,lines,1866-02-01T00:00:00.000000,5.0
0,P1: Comets,lines,1866-03-01T00:00:00.000000,6.0
0,P1: Comets,lines,1866-04-01T00:00:00.000000,22.0
0,P1: Comets,lines,1866-05-01T00:00:00.000000,6.0
