modern_pdes,comet_id,comet_name,perihelion_date,apparition_year,is_periodic,raw_status_source,event_case,current_magnitude_provenance,sbdb_M1,sbdb_K1,sbdb_nuclear_biased,current_modeled_peak_mag,priority
109P,109P,109P/Swift-Tuttle,1862-08-23,1862,True,AERITH,unexpected_seen,horizons_tmag,4.5,15.0,False,1.97,medium_sbdb_good
226P,226P,226P/Pigott-LINEAR-Kowalski,1862-11-03,1862,True,AERITH,expected_not_seen,horizons_tmag,10.1,21.0,False,13.453,medium_sbdb_good
2P,2P,2P/Encke,1862-02-06,1862,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,13.0,high_nuclear_biased
5D,5D,5D/Brorsen,1862-10-13,1862,True,AERITH,expected_not_seen,horizons_tmag,8.3,10.0,False,6.592,medium_sbdb_good
80P,80P,80P/Peters-Hartley,1862-02-01,1862,True,AERITH,expected_not_seen,horizons_tmag,11.8,15.75,False,16.29,medium_sbdb_good
1862 N1,C/1862 N1,C/1862 N1 (Schmidt),1862-06-22,1862,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1862 W1,C/1862 W1,C/1862 W1 (Respighi),1862-12-28,1862,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
26P,26P,26P/Grigg-Skjellerup,1863-01-28,1863,True,AERITH,retrospective_not_observed,horizons_tmag,16.5,5.5,True,16.618,high_nuclear_biased
41P,41P,41P/Tuttle-Giacobini-Kresak,1863-09-07,1863,True,AERITH,expected_not_seen,horizons_tmag,16.9,4.5,True,18.684,high_nuclear_biased
7P,7P,7P/Pons-Winnecke,1863-11-27,1863,True,AERITH,expected_not_seen,horizons_tmag,16.0,4.5,True,16.654,high_nuclear_biased
1862 X1,C/1862 X1,C/1862 X1 (Bruhns),1863-02-03,1863,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1863 G1,C/1863 G1,C/1863 G1 (Klinkerfues),1863-04-05,1863,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1863 G2,C/1863 G2,C/1863 G2 (Respighi),1863-04-21,1863,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1863 T1,C/1863 T1,C/1863 T1 (Baeker),1863-12-29,1863,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1863 V1,C/1863 V1,C/1863 V1 (Tempel),1863-11-09,1863,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1863 Y1,C/1863 Y1,C/1863 Y1 (Respighi),1863-12-28,1863,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
6P,6P,6P/d'Arrest,1864-02-26,1864,True,AERITH,expected_not_seen,horizons_tmag,15.9,8.5,False,18.559,medium_sbdb_good
1864 N1,C/1864 N1,C/1864 N1 (Tempel),1864-08-16,1864,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1864 O1,C/1864 O1,C/1864 O1 (Donati-Toussaint),1864-10-11,1864,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1864 R1,C/1864 R1,C/1864 R1 (Donati),1864-07-28,1864,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1864 X1,C/1864 X1,C/1864 X1 (Baeker),1864-12-22,1864,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
1864 Y1,C/1864 Y1,C/1864 Y1 (Bruhns),1864-12-28,1864,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
2P,2P,2P/Encke,1865-05-28,1865,True,AERITH,expected_seen,horizons_tmag,15.6,4.5,True,12.835,high_nuclear_biased
1865 B1,C/1865 B1,C/1865 B1 (Great southern comet),1865-01-14,1865,False,SBDB,unexpected_seen,failed,,,False,,high_tier3
289P,289P,289P/Blanpain,1866-11-26,1866,True,AERITH,expected_not_seen,horizons_tmag,22.0,4.5,True,16.0,high_nuclear_biased
3D,3D,3D/Biela,1866-01-26,1866,True,AERITH,expected_not_seen,horizons_tmag,7.1,10.0,False,3.712,medium_sbdb_good
4P,4P,4P/Faye,1866-02-14,1866,True,AERITH,expected_seen,horizons_tmag,11.0,9.5,False,14.488,medium_sbdb_good
54P,54P,54P/de Vico-Swift-NEAT,1866-07-07,1866,True,AERITH,expected_not_seen,horizons_tmag,14.2,12.25,False,15.222,medium_sbdb_good
